16.04.12 11:56:59.176 I> Main|6084 --------------------------------------------------
16.04.12 11:56:59.205 I> Main|6084 [Core] Папка=U:\bin
16.04.12 11:56:59.206 I> Main|6084 [Core] Командная строка=U:\bin\taxi.exe /config smcall.ini /noupdate
16.04.12 11:56:59.206 I> Main|6084 [Core] Режим=smStandalone
16.04.12 11:56:59.206 I> Main|6084 [Core] Действие=saDefault
16.04.12 11:56:59.206 I> Main|6084 [Core] Файл логирования=U:\bin\logs\smcall.log
16.04.12 11:56:59.206 I> Main|6084 [Core] Конфигурационный файл=U:\bin\smcall.ini
16.04.12 11:56:59.206 I> Main|6084 [Core] Текст конфигурационного файла=[Logger]
FileName=logs\smcall.log
Mode=1
Enabled=1
Encoded=0
Cut=0
ThreadInfo=1
#ThreadNames=SipRequestWait;Main
#ObjectNames=ExceptNotifier;FirstUIBaseConnection

[Localbase]
FileName=calls.bis
#FileName=smcall.bis
Enabled=1

[LoginIface]
#Enabled=1
#AutoConnect=1
#StatusVisible=0
#UserName=tsv
#Password=1qsc2wdv3efb


16.04.12 11:56:59.245 I> Main|6084 [LocalBase] Загрузка из файла U:\bin\calls.bis прошла успешно
16.04.12 11:56:59.284 I> Main|6084 [Core] Начало снятия дампа модулей ...
16.04.12 11:56:59.299 I> Main|6084 [Core] Модуль=C:\Windows\system32\advapi32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=640512 Хеш=95E2376B3323F062EB562B8586D0F14A
16.04.12 11:56:59.303 I> Main|6084 [Core] Модуль=C:\Windows\system32\comdlg32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=485888 Хеш=D1DE1EAFDE97BE41CF6585027FF3E732
16.04.12 11:56:59.304 I> Main|6084 [Core] Модуль=C:\Windows\system32\CRYPTBASE.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=36864 Хеш=F08F6FCD09F9BE94C37ACC1B344685FF
16.04.12 11:56:59.309 I> Main|6084 [Core] Модуль=C:\Windows\system32\dbghelp.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=854016 Хеш=53223B673A3FA2F9A4D1C31C8D3F6CD8
16.04.12 11:56:59.311 I> Main|6084 [Core] Модуль=C:\Windows\system32\dwmapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=67072 Хеш=39C5F32747B3414D1BB216FDB1DEFC58
16.04.12 11:56:59.313 I> Main|6084 [Core] Модуль=C:\Windows\system32\GDI32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=304640 Хеш=E87F5393F7D8CE2FACC4DFF703531392
16.04.12 11:56:59.325 I> Main|6084 [Core] Модуль=C:\Windows\system32\iertutil.dll Версия=9.00.8112.16443 (WIN7_IE9_GDR.120227-1545) (9.00.8112.16443) Размер=1792000 Хеш=1341915D4705A3BA68BC49E83024ADE0
16.04.12 11:56:59.326 I> Main|6084 [Core] Модуль=C:\Windows\system32\IMAGEHLP.DLL Версия=6.1.7601.17787 (win7sp1_gdr.120229-1502) (6.1.7601.17787) Размер=159232 Хеш=B2DB6ABA2E292235749B80A9C3DFA867
16.04.12 11:56:59.328 I> Main|6084 [Core] Модуль=C:\Windows\system32\IMM32.DLL Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=118272 Хеш=4A8E2F20809CC161107FAA94F6CF2685
16.04.12 11:56:59.329 I> Main|6084 [Core] Модуль=C:\Windows\system32\iphlpapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=103936 Хеш=A90DC9ABD65DB1A8902F361103029952
16.04.12 11:56:59.335 I> Main|6084 [Core] Модуль=C:\Windows\system32\kernel32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=868352 Хеш=E570CBD732848438EAC574EB3442A2A8
16.04.12 11:56:59.338 I> Main|6084 [Core] Модуль=C:\Windows\system32\KERNELBASE.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=290816 Хеш=A9F8E23C1FC00190376B11FFAD9DE6C6
16.04.12 11:56:59.339 I> Main|6084 [Core] Модуль=C:\Windows\system32\LPK.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=26624 Хеш=4F154D2C9C6DF951FD6E5AABBAE6B5EE
16.04.12 11:56:59.340 I> Main|6084 [Core] Модуль=C:\Windows\system32\mpr.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=64000 Хеш=B9A8CBCFCD3EC9D2EA4740AF347BF108
16.04.12 11:56:59.346 I> Main|6084 [Core] Модуль=C:\Windows\system32\MSCTF.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=828928 Хеш=C9618BC9B2B0FD7C1138D8774795A79B
16.04.12 11:56:59.346 I> Main|6084 [Core] Модуль=C:\Windows\system32\msimg32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=4608 Хеш=18AB2E5A40064ED5F7791AC5946A90F3
16.04.12 11:56:59.351 I> Main|6084 [Core] Модуль=C:\Windows\system32\msvcrt.dll Версия=7.0.7601.17744 (win7sp1_gdr.111215-1535) (7.0.7601.17744) Размер=690688 Хеш=9DC80A8AAAAAC397BDAB3C67165A824E
16.04.12 11:56:59.352 I> Main|6084 [Core] Модуль=C:\Windows\system32\netapi32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=56832 Хеш=8CE1A6D16B9077E91E192499EB611C5F
16.04.12 11:56:59.353 I> Main|6084 [Core] Модуль=C:\Windows\system32\netutils.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=22528 Хеш=20B3934DB73EABA2B49B7177873CB81F
16.04.12 11:56:59.354 I> Main|6084 [Core] Модуль=C:\Windows\system32\Normaliz.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=2048 Хеш=9C278785347BCC991F8EA2999D90F58D
16.04.12 11:56:59.355 I> Main|6084 [Core] Модуль=C:\Windows\system32\NSI.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=8704 Хеш=6377051C63D5552A311935C67E9FDFDC
16.04.12 11:56:59.363 I> Main|6084 [Core] Модуль=C:\Windows\SYSTEM32\ntdll.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=1288472 Хеш=C30A91ADE8C9CB91E4281EC83C4500C6
16.04.12 11:56:59.373 I> Main|6084 [Core] Модуль=C:\Windows\system32\ole32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=1414144 Хеш=928CF7268086631F54C3D8E17238C6DD
16.04.12 11:56:59.375 I> Main|6084 [Core] Модуль=C:\Windows\system32\oleacc.dll Версия=7.0.0.0 (win7sp1_gdr.110826-1504) (6.1.7601.17676) Размер=233472 Хеш=8E01332CC4B68BC6B5B7EFFE374442AA
